|               wave | ion | NIST | Instr |           amplitude |       Source |
|   9704.65891553505 |  OH |    1 |    32 |   8.669132451696875 | wavemodel.py |
|  9717.033613280091 |  OH |    1 |    32 |   3.614382390631173 | wavemodel.py |
|  9725.162932836856 |  OH |    1 |    32 |   12.15997018149936 | wavemodel.py |
|  9743.431918238957 |  OH |    1 |    32 |  4.3474847825487535 | wavemodel.py |
|  9751.093766420083 |  OH |    1 |    32 | 0.23844801637763596 | wavemodel.py |
|  9796.453953917588 |  OH |    1 |    32 |  31.131104665735595 | wavemodel.py |
|   9802.10330862485 |  OH |    1 |    32 |  1.0550514663782897 | wavemodel.py |
|  9805.044544666493 |  OH |    1 |    32 |  11.012717525456356 | wavemodel.py |
|  9813.596518184433 |  OH |    1 |    32 |  0.3833284753691335 | wavemodel.py |
|   9817.36624439291 |  OH |    1 |    32 |  3.2696478298242546 | wavemodel.py |
|  9833.614668746424 |  OH |    1 |    32 |  0.9027858047358004 | wavemodel.py |
|   9853.88632729594 |  OH |    1 |    32 |   7.153939880973928 | wavemodel.py |
|  9877.552216049588 |  OH |    1 |    32 |   24.06425995037215 | wavemodel.py |
|  9900.171895279937 |  OH |    1 |    32 |   8.249640884750665 | wavemodel.py |
|  9920.109704478387 |  OH |    1 |    32 |   23.15348868147451 | wavemodel.py |
|  9947.273231541449 |  OH |    1 |    32 |   8.538216514922732 | wavemodel.py |
|  9951.617299539439 |  OH |    1 |    32 |  13.280923098921924 | wavemodel.py |
|  9962.058544371052 |  OH |    1 |    32 |   14.70641847668531 | wavemodel.py |
|  9967.382915055785 |  OH |    1 |    32 |  15.431317790543506 | wavemodel.py |
|  9977.817751977947 |  OH |    1 |    32 |  3.4355608949810232 | wavemodel.py |
| 10005.479876960806 |  OH |    1 |    32 |   3.463624031075376 | wavemodel.py |
| 10018.414595192062 |  OH |    1 |    32 |  26.385031564823088 | wavemodel.py |
|  10026.83355876615 |  OH |    1 |    32 |  0.8429994620695469 | wavemodel.py |
| 10030.949772816646 |  OH |    1 |    32 |  10.024415012778958 | wavemodel.py |
| 10043.362722046553 |  OH |    1 |    32 | 0.35022825187810586 | wavemodel.py |
|  10049.02019776033 |  OH |    1 |    32 |  3.9149490703701773 | wavemodel.py |
| 10066.126002938274 |  OH |    1 |    32 |   5.267906503065609 | wavemodel.py |
| 10072.750165832462 |  OH |    1 |    32 |  1.2408435302781027 | wavemodel.py |
